training time,accuracy,learning rate
64.5229787827,0.46875,1
64.7658963203,0.46875,0.95
64.9130878448,0.53906,0.9
65.516263485,0.54688,0.85
66.5020096302,0.53906,0.8
68.333796978,0.50781,0.75
66.7362568378,0.48438,0.7
65.8867909908,0.52344,0.65
67.9620435238,0.54688,0.6
66.3961,0.55469,0.55
67.2303378582,0.51562,0.5
67.8505671024,0.48438,0.45
66.3491265774,0.50781,0.4
66.1535012722,0.5,0.35
66.2032632828,0.54688,0.3
66.8647913933,0.55469,0.25
66.7448093891,0.60156,0.2
66.9410433769,0.50781,0.15
67.1389391422,0.47656,0.1
66.1019306183,0.41406,0.05
68.5800654888,0.34375,0.001
67.4706704617,0.32031,0.0001
